env_idx,pso_idx,min_cost,p25_cost,p75_cost,max_cost
1,61,3.909991979598999,4.341695189476013,5.328703880310059,5.92692756652832
2,61,3.9373722076416016,4.792508363723755,5.507384896278381,6.181682109832764
3,61,4.03823184967041,4.705415368080139,5.618259787559509,6.573432922363281
0,62,4.248149394989014,5.058513879776001,5.997239947319031,6.929987907409668
1,62,3.909991979598999,4.374188423156738,5.213721752166748,5.834047794342041
2,62,3.9777934551239014,4.809112906455994,5.481751441955566,6.135100364685059
3,62,4.03823184967041,4.827466011047363,5.66639256477356,6.5340681076049805
0,63,4.248149394989014,5.308169722557068,6.050434231758118,7.079196929931641
1,63,3.909991979598999,4.334251880645752,5.144763469696045,5.858810901641846
2,63,3.9251720905303955,4.787156105041504,5.511512041091919,6.617154121398926
3,63,4.03823184967041,4.837285995483398,5.677616357803345,6.563225746154785
4,0,4.648858070373535,5.269001007080078,5.73013710975647,6.491449356079102
5,0,4.112423896789551,4.958010673522949,5.617404818534851,6.674543380737305
6,0,4.1193623542785645,4.698140978813171,5.493563413619995,6.894196510314941
7,0,4.206628799438477,4.78071665763855,5.4344260692596436,6.731352806091309
4,1,4.679701805114746,5.210396766662598,5.623424172401428,6.533131122589111
5,1,4.034783363342285,4.604691028594971,5.383074164390564,6.890804290771484
6,1,4.1193623542785645,4.540510177612305,5.384634852409363,6.291913986206055
7,1,4.206628799438477,4.781130313873291,5.370266437530518,6.38405704498291
4,2,4.517366886138916,5.224050998687744,5.695758938789368,6.549984455108643
5,2,4.034783363342285,4.342252254486084,5.230155348777771,6.460109710693359
6,2,4.054069995880127,4.589109897613525,5.379315614700317,6.921780586242676
7,2,4.20102071762085,4.820825099945068,5.44149124622345,6.8173298835754395
4,3,4.400244235992432,5.211121678352356,5.819123983383179,6.777343273162842
5,3,4.0208635330200195,4.438373565673828,5.258530378341675,6.2645721435546875
6,3,4.032998561859131,4.370336055755615,5.189326047897339,6.85587215423584
7,3,4.183940887451172,4.70634400844574,5.434193730354309,6.788362979888916
4,4,4.400244235992432,5.028483748435974,5.795986175537109,7.030729293823242
5,4,4.014596462249756,4.6172977685928345,5.379266738891602,6.466385841369629
6,4,4.032998561859131,4.201851010322571,5.027493119239807,6.114086151123047
7,4,4.183940887451172,4.801156044006348,5.437520384788513,6.7052836418151855
4,5,4.400244235992432,4.995112419128418,5.694845080375671,6.773135662078857
5,5,3.9565422534942627,4.548470735549927,5.296840667724609,6.470012187957764
6,5,4.032998561859131,4.202619552612305,5.122393488883972,6.361775875091553
7,5,4.183940887451172,4.702132701873779,5.514280557632446,6.393795013427734
4,6,4.400244235992432,5.01317822933197,5.746851444244385,7.14324951171875
5,6,3.9597671031951904,4.683231592178345,5.507317662239075,6.65367317199707
6,6,4.032998561859131,4.20490026473999,5.021949887275696,5.935644149780273
7,6,4.183940887451172,4.81461501121521,5.510755658149719,6.385118007659912
4,7,4.400244235992432,4.989334940910339,5.780041337013245,7.231561183929443
5,7,3.947622776031494,4.6774314641952515,5.560113072395325,6.687076091766357
6,7,3.9953231811523438,4.1404337882995605,4.979196190834045,6.239452838897705
7,7,4.183940887451172,4.720092535018921,5.4328014850616455,6.813497066497803
4,8,4.400244235992432,5.118561863899231,5.8475964069366455,6.793614387512207
5,8,3.926950216293335,4.786503076553345,5.566414713859558,6.545670986175537
6,8,3.9120657444000244,4.202619552612305,5.234550952911377,6.353774070739746
7,8,4.183940887451172,4.659507513046265,5.511240124702454,6.829183578491211
4,9,4.347878456115723,5.13568651676178,5.844303131103516,6.86701774597168
5,9,3.921234607696533,4.605549335479736,5.359463572502136,6.527922630310059
6,9,3.9120657444000244,4.136441707611084,5.06870698928833,5.9478607177734375
7,9,4.183940887451172,4.761012077331543,5.493119716644287,6.4295244216918945
4,10,4.347878456115723,5.070028781890869,5.743892431259155,6.878257751464844
5,10,3.8529515266418457,4.8049386739730835,5.386070489883423,6.239466667175293
6,10,3.9120657444000244,4.288799524307251,5.067229509353638,6.3850908279418945
7,10,4.128186225891113,4.769630432128906,5.400058746337891,6.3148908615112305
4,11,4.347878456115723,5.064234256744385,5.753960609436035,6.7355146408081055
5,11,3.9026570320129395,4.874238967895508,5.475683927536011,6.553323745727539
6,11,3.9120657444000244,4.202619552612305,5.066649913787842,6.033881664276123
7,11,4.115116119384766,4.671204686164856,5.401182770729065,6.206770420074463
4,12,4.347878456115723,5.0123138427734375,5.810112237930298,6.650279998779297
5,12,3.930816650390625,4.87354052066803,5.550871849060059,6.748376369476318
6,12,3.9120657444000244,4.189231753349304,5.179535984992981,5.979529857635498
7,12,4.04648494720459,4.595235109329224,5.26684033870697,6.603829383850098
4,13,4.347878456115723,5.1170231103897095,5.824118375778198,6.717930793762207
5,13,3.882509231567383,4.780698537826538,5.502400279045105,6.584832668304443
